uid,D11,D22,D33,max_offdiag,phi,seconds
0,0.782642,0.782650,0.782642,3.123e-05,0.868683,0.27
1,0.753160,0.753147,0.753148,9.868e-05,0.848907,0.29
2,0.708490,0.708383,0.708493,1.031e-04,0.818054,0.28
3,0.639896,0.639894,0.639894,5.536e-05,0.770660,0.25
4,0.590710,0.590645,0.590699,2.258e-04,0.732452,0.25
5,0.569923,0.569923,0.569923,3.858e-16,0.718750,0.21
8,0.434288,0.434288,0.434288,6.349e-16,0.603027,0.18
9,0.411981,0.411981,0.411981,6.455e-16,0.580566,0.17
6,0.513950,0.513945,0.513947,2.033e-04,0.671600,0.23
7,0.470005,0.470005,0.470005,5.619e-16,0.633789,0.19
20,0.421376,0.421376,0.421376,1.230e-04,0.594482,0.22
21,0.380278,0.380278,0.380278,2.388e-05,0.557495,0.21
12,0.802568,0.802797,0.802600,5.123e-04,0.882080,0.30
13,0.763380,0.763505,0.763364,5.414e-04,0.854797,0.35
10,0.362548,0.362548,0.362548,7.193e-05,0.535797,0.32
11,0.323199,0.323269,0.323190,9.485e-05,0.492096,0.36
14,0.697541,0.697512,0.697484,4.686e-04,0.811890,0.57
15,0.663371,0.663456,0.663335,8.635e-04,0.788025,0.57
18,0.509188,0.509188,0.509188,1.542e-05,0.670563,0.50
19,0.476386,0.476122,0.476371,1.618e-04,0.637390,0.51
16,0.614236,0.614077,0.614081,6.305e-05,0.750580,0.51
17,0.541258,0.541268,0.541270,3.249e-04,0.696106,0.48
22,0.360402,0.360227,0.360432,1.473e-04,0.531525,0.41
23,0.325353,0.325245,0.325468,1.711e-04,0.496155,0.48
24,0.815367,0.815367,0.696024,6.960e-17,0.869141,0.75
25,0.769251,0.769291,0.639309,1.994e-05,0.835052,0.59
26,0.746828,0.746826,0.599422,1.022e-04,0.816681,0.56
27,0.681913,0.681936,0.519160,1.278e-04,0.768219,0.52
28,0.643173,0.643173,0.491047,2.515e-16,0.738281,0.50
29,0.600821,0.600940,0.434940,3.764e-04,0.704620,0.49
36,0.832521,0.757500,0.757500,1.605e-16,0.871094,0.52
37,0.802446,0.708426,0.708426,1.450e-04,0.842651,0.63
38,0.756021,0.644218,0.644332,4.183e-04,0.804260,0.63
39,0.728749,0.597729,0.597532,2.635e-04,0.779480,0.55
30,0.557312,0.557312,0.396181,3.584e-16,0.666992,0.46
31,0.516650,0.516650,0.349639,4.221e-04,0.633423,0.63
40,0.669703,0.537365,0.537411,7.483e-05,0.732513,0.47
41,0.633570,0.483414,0.483271,4.519e-04,0.696381,0.43
32,0.474707,0.474632,0.315302,6.509e-05,0.596039,0.43
33,0.437870,0.437870,0.278395,3.630e-05,0.560425,0.41
42,0.617636,0.466737,0.466740,1.889e-04,0.682800,0.52
43,0.567366,0.411134,0.411192,3.751e-04,0.635681,0.44
34,0.398193,0.398193,0.246794,9.204e-05,0.526428,0.42
35,0.369784,0.369784,0.222296,5.298e-16,0.494141,0.34
44,0.537287,0.364526,0.364575,6.002e-04,0.604340,0.48
45,0.487929,0.336624,0.336891,9.291e-05,0.564270,0.47
46,0.447783,0.287167,0.287178,3.938e-04,0.522583,0.43
47,0.425556,0.272361,0.272315,3.590e-04,0.502869,0.40
48,0.835284,0.835301,0.649157,2.082e-05,0.873535,4.45
49,0.799268,0.799429,0.590193,7.343e-05,0.844971,4.61
50,0.743652,0.743643,0.509845,1.169e-04,0.801848,4.09
51,0.716203,0.716254,0.479774,6.005e-05,0.779704,3.93
52,0.678394,0.678394,0.440556,2.147e-11,0.750506,3.85
53,0.632728,0.632728,0.394495,9.501e-16,0.713108,3.71
60,0.857657,0.751677,0.751744,7.611e-05,0.877731,3.96
61,0.814171,0.672745,0.672672,3.357e-04,0.836381,4.10
62,0.789579,0.627123,0.627385,2.933e-05,0.813187,3.73
63,0.740259,0.561871,0.561842,2.155e-05,0.769287,3.47
54,0.591102,0.591141,0.348010,1.631e-05,0.678720,3.87
55,0.537478,0.537478,0.299934,1.413e-15,0.634115,3.25
64,0.697537,0.507629,0.507706,2.758e-05,0.732359,3.64
65,0.670330,0.476703,0.476703,3.565e-16,0.705729,2.97
66,0.634834,0.421037,0.420915,9.759e-05,0.671025,3.38
67,0.596361,0.374349,0.374387,1.039e-04,0.633825,3.72
68,0.569457,0.348795,0.348816,4.449e-05,0.608679,3.13
69,0.526933,0.301395,0.300730,1.777e-04,0.569671,3.52
58,0.412766,0.412766,0.201578,1.798e-15,0.524306,2.54
59,0.393050,0.393050,0.184837,1.803e-15,0.503906,2.40
56,0.488649,0.488649,0.262237,1.565e-15,0.592448,3.15
57,0.459089,0.459089,0.237150,1.668e-15,0.566840,3.02
70,0.483809,0.259086,0.258537,3.582e-04,0.525490,2.85
71,0.455334,0.240015,0.240015,5.652e-16,0.498698,2.24
72,0.828598,0.828896,0.772778,5.321e-04,0.887903,4.05
73,0.765273,0.765272,0.689825,7.311e-05,0.841761,3.69
96,0.556081,0.556081,0.556081,5.718e-04,0.883875,0.67
97,0.522964,0.522966,0.522967,4.972e-04,0.846375,0.93
98,0.491454,0.491439,0.491468,2.401e-05,0.809387,0.75
99,0.457908,0.458004,0.458052,4.325e-07,0.769165,0.65
74,0.711742,0.711733,0.616220,2.202e-04,0.801062,3.64
75,0.659701,0.660008,0.560440,1.745e-04,0.764884,3.85
100,0.438511,0.438542,0.438604,1.032e-04,0.745911,0.67
101,0.401504,0.401504,0.401504,5.338e-05,0.699829,0.56
102,0.381611,0.381572,0.381620,3.231e-05,0.669952,0.61
103,0.352322,0.352295,0.352265,1.593e-04,0.631897,0.55
106,0.278474,0.278468,0.278488,7.406e-05,0.528015,0.53
107,0.259959,0.259959,0.259959,4.202e-16,0.500977,0.26
104,0.336489,0.336467,0.336513,5.310e-05,0.611450,0.52
105,0.316169,0.316161,0.316183,3.174e-05,0.580414,0.55
76,0.626659,0.626671,0.538266,1.103e-04,0.741989,3.95
77,0.589264,0.589264,0.497945,2.799e-16,0.708333,2.97
78,0.554523,0.554441,0.464321,2.598e-04,0.682680,3.58
79,0.493401,0.493424,0.385626,3.972e-05,0.626374,2.99
108,0.555860,0.555857,0.555859,9.267e-05,0.882785,0.56
109,0.519691,0.519691,0.519691,3.761e-04,0.842041,0.57
112,0.441934,0.441934,0.441934,2.631e-04,0.750600,0.67
113,0.403685,0.403685,0.403685,1.090e-03,0.703125,0.70
110,0.501730,0.501731,0.501730,1.552e-03,0.821682,0.63
111,0.454567,0.454573,0.454565,4.390e-04,0.767629,0.76
84,0.866352,0.803610,0.735758,4.432e-05,0.888111,4.04
85,0.813663,0.734447,0.648696,1.033e-16,0.842448,3.78
80,0.452415,0.452848,0.361199,3.907e-04,0.592394,3.08
81,0.419726,0.419726,0.313447,5.387e-16,0.559028,2.32
114,0.382061,0.382064,0.382055,9.390e-04,0.670475,0.64
115,0.364000,0.364001,0.364014,9.914e-05,0.648735,0.58
116,0.326696,0.326756,0.326706,2.346e-04,0.592194,0.64
117,0.301974,0.301972,0.302029,1.477e-04,0.560760,0.57
118,0.283175,0.283074,0.283111,1.851e-04,0.535858,0.58
119,0.262809,0.262867,0.262806,7.262e-05,0.504517,0.60
120,0.627621,0.627621,0.354272,1.992e-04,0.872106,0.69
121,0.606064,0.606064,0.336245,2.196e-04,0.849175,0.63
122,0.575482,0.575482,0.312917,5.952e-17,0.816500,0.30
123,0.538107,0.538107,0.287910,3.640e-05,0.776611,0.76
82,0.395451,0.395451,0.298971,1.778e-04,0.539686,2.50
83,0.355266,0.355266,0.264487,5.674e-16,0.498264,2.01
86,0.765643,0.670223,0.571205,3.694e-05,0.800013,3.77
87,0.729487,0.626164,0.521216,2.513e-16,0.769531,3.75
124,0.511620,0.511620,0.267956,2.207e-04,0.745361,0.86
125,0.471474,0.470921,0.237283,6.364e-05,0.700470,0.78
130,0.327231,0.327231,0.144628,6.131e-17,0.523438,0.36
131,0.320109,0.320099,0.142229,1.903e-05,0.511017,0.61
132,0.735658,0.432197,0.432197,1.085e-04,0.876276,0.56
133,0.703486,0.406630,0.406630,2.064e-16,0.843750,0.24
126,0.436268,0.436294,0.219116,4.636e-05,0.665009,0.86
127,0.422548,0.422627,0.206592,3.926e-05,0.644745,0.67
134,0.669084,0.379607,0.379607,4.567e-04,0.808160,0.70
135,0.641211,0.358250,0.358247,1.285e-03,0.780967,0.70
128,0.382735,0.382731,0.189111,3.156e-06,0.596252,0.72
129,0.367115,0.367116,0.173294,6.761e-05,0.576019,0.82
140,0.480483,0.245293,0.245242,1.344e-04,0.611938,0.97
141,0.451923,0.217680,0.217680,2.316e-16,0.574219,0.54
136,0.601275,0.328213,0.328239,1.196e-04,0.739876,0.82
137,0.573223,0.308273,0.308273,9.080e-05,0.709221,0.89
88,0.693895,0.572915,0.478432,8.687e-05,0.738137,4.15
89,0.668821,0.546977,0.448632,5.028e-05,0.714627,4.08
138,0.537855,0.282793,0.282754,3.197e-05,0.675537,0.71
139,0.504030,0.266594,0.266511,8.940e-05,0.638611,0.67
142,0.408747,0.197392,0.197325,2.803e-05,0.530823,0.61
143,0.377993,0.182118,0.181555,1.901e-05,0.501434,0.58
90,0.623349,0.489519,0.387862,4.225e-05,0.673114,3.66
91,0.594890,0.456388,0.357128,4.711e-16,0.646267,3.43
92,0.560318,0.415384,0.322652,3.341e-05,0.613543,3.16
93,0.524731,0.368335,0.291648,5.332e-16,0.579861,2.63
94,0.465346,0.314902,0.240014,5.161e-05,0.523781,2.72
95,0.443942,0.293370,0.214342,5.367e-05,0.501501,2.63
156,0.803121,0.376554,0.376554,3.526e-17,0.880142,1.14
157,0.766307,0.347873,0.347873,3.807e-04,0.843048,4.12
154,0.341845,0.341845,0.099218,7.532e-17,0.523438,2.70
155,0.312432,0.312453,0.088428,2.041e-05,0.489032,3.90
144,0.651656,0.651656,0.277170,1.828e-04,0.870575,4.30
145,0.630708,0.630708,0.263139,1.111e-05,0.849444,4.54
146,0.598089,0.598089,0.243310,7.461e-05,0.815538,5.63
147,0.559315,0.559315,0.218728,2.798e-05,0.775125,6.55
158,0.739116,0.327968,0.327968,5.572e-04,0.815353,4.33
159,0.706163,0.304331,0.304331,1.321e-04,0.782526,4.42
